
					Numbers 1				|
This is the rule for the Levites: those of twenty-five years old and over are to go in and do the work of the Tent of meeting;|Nầy là lệ định về người Lê-vi: Từ hai mươi lăm tuổi sắp lên, người Lê-vi phải đến nhập ban trong công việc của hội mạc.
But after they are fifty years old, they are to give up their work and do no more;|Nhưng đến năm mươi tuổi, người sẽ ra ban, chẳng làm công việc nữa;
But be with their brothers in the Tent of meeting, taking care of it but doing no work. This is what you are to do in connection with the Levites and their work.|người phải cứ giúp đỡ anh em mình trong hội mạc, coi sóc việc chi đã giao cho, nhưng không nên làm công việc nữa. Ngươi phải đối cùng người Lê-vi mà làm như vậy về chức phận của họ.

					Numbers 9				|
						Dân Số 9					
And the Lord said to Moses, in the waste land of Sinai, in the first month of the second year after they had come out of the land of Egypt,|Tháng giêng năm thứ hai, sau khi ra khỏi xứ Ê-díp-tô, Đức Giê-hô-va lại phán cùng Môi-se trong đồng vắng Si-na -i rằng:
Let the children of Israel keep the Passover at its regular time.|Dân Y-sơ-ra-ên phải giữ lễ Vượt-qua theo kỳ nhất định.
In the fourteenth day of this month, at evening, you are to keep it at the regular time, and in the way ordered in the law.|Các ngươi phải giữ lễ đó theo kỳ nhất định, tức là ngày mười bốn tháng nầy, vào buổi chiều tối; các ngươi phải làm theo hết thảy lệ định và luật pháp về lễ đó.
And Moses gave orders to the children of Israel to keep the Passover.|Vậy, Môi-se nói cùng dân Y-sơ-ra-ên để họ giữ lễ Vượt-qua.
So they kept the Passover in the first month, on the fourteenth day of the month, at evening, in the waste land of Sinai: as the Lord gave orders to Moses, so the children of Israel did.|Dân Y-sơ-ra-ên giữ lễ Vượt-qua trong tuần tháng giêng, ngày mười bốn, vào buổi chiều tối, tại đồng vắng Si-na -i, làm y mọi điều Đức Giê-hô-va đã phán dặn Môi-se.
And there were certain men who were unclean because of a dead body, so that they were not able to keep the Passover on that day; and they came before Moses and before Aaron on that day:|Vả, có mấy người vì cớ xác chết mà bị ô uế, không được giữ lễ Vượt-qua trong ngày đó, bèn đến trước mặt Môi-se và A-rôn,
And these men said to him, We have been made unclean by the dead body of a man; why may we not make the offering of the Lord at the regular time among the children of Israel?|mà thưa cùng Môi-se rằng: Chúng tôi bị lây ô uế vì xác chết của loài người; sao tại trong dân Y-sơ-ra-ên chúng tôi phải bị cất phần dâng của lễ cho Đức Giê-hô-va theo kỳ đã chỉ?
And Moses said to them, Do nothing till the Lord gives me directions about you.|Môi-se đáp rằng: Hãy đợi để ta biết điều Đức Giê-hô-va sẽ truyền dạy về các ngươi.
And the Lord said to Moses,|Đức Giê-hô-va bèn phán cùng Môi-se rằng:
Say to the children of Israel, If any one of you or of your families is unclean because of a dead body, or is on a journey far away, still he is to keep the Passover to the Lord:|Hãy nói cùng dân Y-sơ-ra-ên rằng: Khi một người trong vòng các ngươi hay là trong vòng hậu đại các ngươi bị ô uế vì cớ xác chết, hoặc mắc đi xa, thì cũng buộc phải giữ lễ Vượt-qua cho Đức Giê-hô-va.
In the second month, on the fourteenth day, in the evening, they are to keep it, taking it with unleavened bread and bitter-tasting plants;|Mấy người đó phải giữ lễ nầy ngày mười bốn tháng hai, vào buổi chiều tối, ăn bánh không men cùng rau đắng,
Nothing of it is to be kept till the morning, and no bone of it is to be broken: they are to keep it by the rules of the Passover.|chớ nên để chi còn dư lại đến sáng lai, và cũng chẳng nên bẻ gãy những xương; phải giữ theo mọi luật lệ về lễ Vượt-qua vậy.
But the man who, not being unclean or on a journey, does not keep the Passover, will be cut off from his people: because he did not make the offering of the Lord at the regular time, his sin will be on him.|Nhưng còn ai tinh sạch và không có đi xa, nếu chẳng giữ lễ Vượt-qua thì sẽ bị truất khỏi dân sự mình: vì người ấy chẳng dâng của lễ cho Đức Giê-hô-va trong kỳ nhất định; người sẽ mang lấy tội mình.
And if a man from another country is among you and has a desire to keep the Passover to the Lord, let him do as is ordered in the law of the Passover: there is to be the same rule for the man from another nation and for him who had his birth in the land.|Khi một khách ngoại bang kiều ngụ giữa các ngươi mà muốn giữ lễ Vượt-qua cho Đức Giê-hô-va, thì phải giữ theo lệ định và luật pháp về lễ Vượt-qua. Đồng có một luật lệ cho các ngươi, cho khách ngoại bang, và cho người nào sanh tại trong xứ.
And on the day when the House was put up, the cloud came down on it, on the Tent of witness; and in the evening there was a light like fire over the House till the morning.|Vả, ngày người ta dựng đền tạm, thì trụ mây bao phủ đền tạm và Trại chứng cớ; ban chiều dường có một vầng lửa ở trên đền tạm cho đến sáng mai.
And so it was at all times: it was covered by the cloud, and by a light as of fire by night.|Hằng có như vậy; ban ngày trụ mây bao phủ đền tạm, và ban đêm giống như có lửa.
And whenever the cloud was taken up from over the House, then the children of Israel went journeying on; and in the place where the cloud came to rest, there the children of Israel put up their tents.|Mỗi khi trụ mây cất lên khỏi Trại, thì dân Y-sơ-ra-ên ra đi; trong nơi nào trụ mây dừng lại, thì dân Y-sơ-ra-ên hạ trại ở đó.
At the order of the Lord the children of Israel went forward, and at the order of the Lord they put up their tents: as long as the cloud was resting on the House, they did not go away from that place.|Dân Y-sơ-ra-ên ra đi theo mạng Đức Giê-hô-va, và hạ trại theo mạng Đức Giê-hô-va. Trọn trong lúc trụ mây ngự trên đền tạm, thì dân Y-sơ-ra-ên cứ đóng trại.
When the cloud was resting on the House for a long time the children of Israel, waiting for the order of the Lord, did not go on.|Khi nào trụ mây ngự lâu trên đền tạm, thì dân Y-sơ-ra-ên vâng theo mạng Đức Giê-hô-va, chẳng hề ra đi.
Sometimes the cloud was resting on the House for two or three days; then, by the order of the Lord, they kept their tents in that place, and when the Lord gave the order they went on.|Nhưng khi nào trụ mây ngự ít ngày trên đền tạm, thì dân Y-sơ-ra-ên cứ vâng theo mạng Đức Giê-hô-va mà hạ trại và ra đi.
And sometimes the cloud was there only from evening to morning; and when the cloud was taken up in the morning they went on their journey again: or if it was resting there by day and by night, whenever the cloud was taken up they went forward.|Khi trụ mây ngự tại đó từ buổi chiều đến sáng mai, và khi đến sáng mai trụ mây cất lên, thì ra đi; không cứ ngày hay đêm trụ mây cất lên, thì họ ra đi.
Or if the cloud came to rest on the House for two days or a month or a year without moving, the children of Israel went on waiting there and did not go on; but whenever it was taken up they went forward on their journey.|Trụ mây ngự trên đền tạm hoặc hai ngày, hoặc một tháng, hoặc lâu hơn nữa, thì dân Y-sơ-ra-ên cứ đóng trại, không hề ra đi; nhưng khi trụ mây cất lên, thì họ ra đi.
At the word of the Lord they put up their tents, and at the word of the Lord they went forward on their journey: they kept the orders of the Lord as he gave them by Moses.|Dân Y-sơ-ra-ên hạ trại và ra đi tùy theo mạng Đức Giê-hô-va; họ theo chương trình của Đức Giê-hô-va, tùy mạng Ngài đã cậy Môi-se mà truyền cho.

					Numbers 10				|
						Dân Số 10					
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Make two silver horns of hammered work, to be used for getting the people together and to give the sign for the moving of the tents.|Hãy làm hai ống loa bằng bạc, đánh giát, dùng cho ngươi để nhóm hiệp hội chúng và truyền cho các trại quân ra đi.
When they are sounded, all the people are to come together to you at the door of the Tent of meeting.|Khi nào người ta thổi loa, toàn hội chúng sẽ nhóm lại gần bên ngươi, tại cửa hội mạc.
If only one of them is sounded, then the chiefs, the heads of the thousands of Israel, are to come to you.|Nếu người ta thổi chỉ một ống loa, thì các quan trưởng, tức là các quan tướng đội-quân Y-sơ-ra-ên phải nhóm lại gần bên ngươi;
When a loud note is sounded, the tents placed on the east side are to go forward.|khi các ngươi thổi tiếng vang, thì những trại quân ở về hướng đông phải ra đi.
At the sound of a second loud note, the tents on the south side are to go forward: the loud note will be the sign to go forward.|Khi các ngươi thổi tiếng vang lần thứ nhì, thì những trại quân ở về hướng nam phải ra đi; người ta sẽ thổi tiếng vang khi nào các trại quân phải ra đi vậy.
But when all the people are to come together, the horn is to be sounded but not loudly.|Khi nhóm hội chúng, các ngươi phải thổi, nhưng đừng thổi tiếng vang.
The horns are to be sounded by the sons of Aaron, the priests; this is to be a law for you for ever, from generation to generation.|Các con trai A-rôn, là những thầy tế lễ, sẽ thổi những ống loa. Từ đời nầy sang đời kia, ấy sẽ là một lệ định đời đời cho các ngươi.
